CompanyID,CompanyName,ShortBlurb,KeyStat1,KeyStat2,KeyStat3,Headquarters,ParentCompany,AboutText,VideoURL,LogoURL,CrossSellLeadUrl
AXIO,Axiom,,,,,UK,,"Axiom is a leading provider of governance, risk, and compliance solutions across multiple specialized companies. We provide the tools, expertise and support that organisations need to manage risk and compliance with greater clarity and confidence.​",https://www.youtube.com/embed/1A31qHqIpC4?si=v3vaAOhtd_EVEtjx,https://drive.google.com/file/d/1BUlur2VwNyG4OqeidcTbqvWryhnBx_q-/view?usp=drive_link,
VINC,VinciWorks,Customisable compliance training and workflow automation solutions,800+ course library,20+ years experience,"World's leading provider to legal sector, Starting from $5,900/year",UK,Axiom GRC,"VinciWorks empowers organisations to turn compliance into culture. With world-class compliance elearning and compliance workflow management, we help organisations build personalised compliance programmes that evolve with changing regulations.",https://drive.google.com/file/d/1umP2NF4EtOku_s6qs_-HgkzX1iBDM4Ov/view?usp=drive_link,https://drive.google.com/file/d/193chNuLdXHFKH2gTVKlP8Qsw0O6rZGhN/view?usp=drive_link,https://forms.monday.com/forms/57724da514ec90f4bf07b1dfb0c7f5c3?r=use1
VANT,Vantify,Compliance and risk management software platform,"50,000+ properties managed","25,000+ H&S risk assessments annually","Formed from William Martin, Elogs, Prosure360, Meridian, SRC Group with £5M+ investment",UK,Axiom GRC,"Vantify is a fully integrated ecosystem designed to simplify and strengthen every aspect of health and safety compliance. We have connected compliance, facilities, supply chain, training, and consultancy into one intelligent platform. Whether your client is juggling disconnected systems, struggling with visibility, or trying to scale compliance efforts, Vantify helps them streamline operations, reduce risk, and stay in control.",https://drive.google.com/file/d/1P4d5NUElMxlyzUVDuNHIk4OJhSD7YtZQ/view?usp=drive_link,https://drive.google.com/file/d/1-oS2fHweDPoensHdDY46e5zOePyKYQvU/view?usp=drive_link,https://forms.monday.com/forms/b7ee7c9c65f2a886562946c9e384682a?r=use1
BARB,Barbour EHS,"Trusted health, safety, and environmental information provider",Since 1957 (67 years),Daily library updates,£5.4M revenue pre-acquisition,UK,Axiom GRC,"Barbour is a unique, market-leading information service that provides up-to-date legislation, guidance, standards and trade association publications in just one place. We then combine this with ready-made and editable policies, communication and training tools. No other information service gets you to a simple answer quicker, enabling you to get back to the day job.",https://drive.google.com/file/d/1v-PQvaFHLqJpIw8zFY9Z2LcIsHuJxHfD/view?usp=drive_link,https://drive.google.com/file/d/1xzhYM0tPLEOqnJNc4mJERjUJKRoipIMQ/view?usp=drive_link,https://forms.monday.com/forms/b7ee7c9c65f2a886562946c9e384682a?r=use1
CORE,Corestream GRC,No-code GRC automation and workflow management software,SOC 2 Type II certified,"Used by BBC, Shell, GWR, Deloitte, NHS, PwC","No-code platform, 6-8 week implementation (fast as 10 days)",UK,Axiom GRC,"CoreStream GRC’s no-code, highly flexible platform lets you build your ideal GRC environment with pre-built, customisable components, no complexity, no compromises. With seamless scalability, an intuitive interface, and rapid implementation, CoreStream GRC transforms GRC from a compliance burden into a competitive advantage.",https://www.youtube.com/embed/PB21UXMlpVs?si=20AIpPYIkpTvtmu4,https://drive.google.com/file/d/1Eb8PGVrdIkfItvNnHYD97Ckgh6Kmb7qt/view?usp=drive_link,https://forms.monday.com/forms/e392588b271fbe557e9f518903c064cd?r=use1
WORKGROUP,WorkNest Group,,,,,UK,Axiom GRC,"WorkNest Group helps organisations across all industries navigate people and digital security challenges through combining smart technology and deep expertise seamlessly into our solutions. We are focused on building strong relationships, aligning with customers' goals, and providing clear, practical guidance to become a trusted extension of the team, driving performance, compliance, and customer trust.",https://drive.google.com/file/d/10uXPJkn1jeHF81h5dmKmpqXn2hg2qH3b/view?usp=drive_link,https://drive.google.com/file/d/1RZ-X4ty8QtCrCuJPNPBnC7GRst0udXrK/view?usp=drive_link,
WORK,WorkNest People,"HR, employment law, and health & safety consultancy",65+ employment lawyers,50+ CIPD HR professionals,"40+ qualified H&S consultants, 97% retention rate",UK,Axiom GRC,"WorkNest People delivers expert Employment Law, HR, and Health & Safety support, combining hands-on consultancy with advanced technology. We help organisations of all sizes confidently manage employment, safety, and wellbeing challenges through our intuitive myWorkNest portal. With unmatched depth and breadth our team of qualified lawyers, HR consultants, and health & safety specialists, eliminate the need to juggle multiple partners or hire in-house experts to build high-performing teams, keep your workplace safe, and reduce risk.",https://drive.google.com/file/d/10uXPJkn1jeHF81h5dmKmpqXn2hg2qH3b/view?usp=drive_link,https://drive.google.com/file/d/1RZ-X4ty8QtCrCuJPNPBnC7GRst0udXrK/view?usp=drive_link,https://forms.monday.com/forms/0a61c833aa67d267bed2487d230884f3?r=use1
WORKISO,WorkNest ISO,ISO certification and management systems consultancy,30+ years experience,5★ Recognized for Excellence,"Fixed-fee approach, IRCA-qualified assessors",UK,Axiom GRC,"WorkNest ISO's leading ISO certification specialists provide high-quality ISO consultancy services and ISO standards to organisations of all sizes, across all sectors, and globally. We guide businesses through achieving ISO certification in areas such as ISO 9001 Quality Management, ISO 14001 Environmental Management, and ISO 45001 Occupational Health and Safety, helping them improve compliance, efficiency, and competitiveness. From achieving basic compliance to strategic InfoSec integration, we have flexible, hands-on ISO services to fit your clients' business.",https://drive.google.com/file/d/1Dtjc93vKdig2-pbI46pzdcC6xYp7ft7M/view?usp=drive_link,https://drive.google.com/file/d/13XANdX65KGPFhV7D9Pjkjfzt8J9otLM1/view?usp=drive_link,https://forms.monday.com/forms/0a61c833aa67d267bed2487d230884f3?r=use1
WORKSEC,WorkNest Secure,,,,,UK,Axiom GRC,"WorkNest Secure acts as a defense against cyber, information security, and data protection threats. Our unique combination of automation technology and highly trained specialists makes staying ahead of threats simple, unlocking stronger customer trust and loyalty with proven improvements in clients' security posture.",https://drive.google.com/file/d/15RcoE1qclyn2jbyoMG5Hbx7f9c7AJDBk/view?usp=drive_link,https://drive.google.com/file/d/1ZqZRc1OQHGRon3RgmcnaXJwWpkUUUfk_/view?usp=drive_link,https://forms.monday.com/forms/0a61c833aa67d267bed2487d230884f3?r=use1
DPOC,The DPO Centre,Experts in data protection and GDPR compliance,100+ DPO team,Multi-jurisdictional,Europe's leading life science DPO experts,UK,Axiom GRC,"From outsourced DPO services and AI governance to EU and UK representation, training, and DSAR response, we make privacy practical, proactive, and powerful.
Trusted by over 1,000 organisations globally, we help you protect data, build trust, and stay ahead.",,https://drive.google.com/file/d/1qoifdjsSboQJgASL4HdG3CBOUkKuAxL9/view?usp=drive_link,
ISPA,IS Partners,"IT audit and security compliance services provider specializing in SOC audits, CMMC, HITRUST, ISO certifications, and cybersecurity assessments",Founded by Big 4 Alumni with 30 years of expertise,High client and employee retention rates mentioned,,US,Axiom GRC,"IS Partners is a CPA firm providing IT compliance and risk advisory solutions including SOC, PCI DSS, HITRUST examinations and more. The company uses customized, tech-driven solutions led by seasoned CPAs and security experts that deliver predictable results. They transform compliance from a daunting regulatory burden into a strategic advantage, offering personalized service that treats each business individually rather than using commoditized solutions.",https://drive.google.com/file/d/1anCrDVXFkMSoP5QzbNjxenGTVdiujjyd/view?usp=drive_link,https://drive.google.com/file/d/1TRWvooQO6Z6WBCt_WvR0zSDy3wwgcMou/view?usp=drive_link,