RuleID,ProductA,ProductB,DataSource,Direction,ClientCount,Confidence,SME_Enterprise,Rationale AB,KeyBenefit1,KeyBenefit2,KeyBenefit3,InsightsSource AB,Rationale BA,KeyBenefit BA1,KeyBenefit BA2,KeyBenefit BA3,InsightsSource BA
CS001,vantify-risk,worknest-hs,Inferred,,,57,Both,Safety-related disciplinaries and HR issues from incidents create natural need for employment law expertise,Complete people risk management (H&S + Employment Law),97% client retention rate,Fixed-fee certainty with unlimited advice,,,,,,
CS002,vantify-cafm,barbour-comp,Inferred,,,55,Both,Organizations managing industrial properties need expert interpretation of complex EHS regulations,Daily regulatory updates with expert interpretation,Chemical safety and environmental guidance,ISO 14001/45001 gap analysis tools,,,,,,
CS003,vantify-consult,worknest-emplaw,Inferred,,,56,Both,Safety violations lead to disciplinary matters requiring legal expertise,Seamless H&S to employment law support,Combined people risk management,Same account management across services,,,,,,
CS004,worknest-emplaw,vinciworks-courses,Inferred,,,53,Both,Organizations getting legal advice need training programs beyond basic HR topics,800+ compliance courses beyond employment law,100% customizable to your policies,Tracks training completion for audit evidence,,,,,,
CS005,worknest-hs,vantify-risk,Inferred,,,55,Enterprise,Organizations need to track and manage compliance digitally as they scale,Centralized compliance tracking platform,Automated workflows and reporting,Integration with WorkNest advice,,,,,,
CS006,barbour-comp,vantify-consult,Inferred,,,53,Both,Organizations have the regulatory intelligence but need hands-on implementation support,Moves from theory to practice,On-site risk assessments and audits,"25,000+ assessments completed annually",,,,,,
CS007,vinciworks-courses,worknest-emplaw,Inferred,,,51,Both,eLearning identifies specific HR/legal situations requiring professional guidance,Training + real-world expert support,Fixed-fee legal advice for situations,97% retention rate,,,,,,
CS009,worksec-pentest,vinciworks-courses,Inferred,,,55,Both,Phishing test failures and security assessments highlight need for awareness training,Remediation training for test failures,Security awareness courses,AI conversational learning for engagement,,,,,,
CS010,worksec-guardnest,corestream-platform,Inferred,,,55,Enterprise,Web app findings need centralized risk management,Centralized vulnerability database,Risk-to-control linking,Action tracking for remediation,,,,,,
CS012,worksec-guardnest,dpo-outsourced,Inferred,,,55,Both,Security incidents involving personal data require specialist DPO guidance,ICO notification expertise,Data breach response protocols,DSAR handling during incidents,,,,,,
CS013,corestream-platform,vinciworks-courses,Inferred,,,53,Both,"CoreStream manages policies and tracks compliance actions, while VinciWorks closes the loop by ensuring every employee understands their responsibilities through targeted, trackable training.",Automated training deployment when new policies or controls are published,Centralized evidence that staff have completed required training for audit trails,"Training completion data flows back to risk/compliance dashboards showing coverage gaps

",,,,,,
CS014,corestream-platform,dpo-outsourced,Inferred,,,56,Both,Organizations tracking data protection benefit from specialist DPO team,Software + human expertise combination,RoPA and DPIA execution support,Largest specialist DPO team available,,,,,,
CS015,dpo-outsourced,corestream-platform,Inferred,,,54,Enterprise,Large-scale data protection needs GRC platform,Centralized RoPA and DPIA management,Privacy risk tracking,Automated breach management,,,,,,
CS016,dpo-outsourced,vinciworks-courses,Inferred,,,52,Both,Data protection strategy needs workforce training,GDPR training for all staff,Customizable to your policies,Training completion tracking,,,,,,
CS017,vantify-cafm,vantify-supply,Inferred,,,59,Enterprise,Property management requires supply chain compliance,Complete property ecosystem integration,"1,800+ vetted contractors",Modern slavery prevention tools,,,,,,
CS018,vantify-risk,vinciworks-courses,Inferred,,,56,Both,Risk software tracks compliance but people need training to understand risks and complete assessments properly,800+ H&S and risk management courses,Training completion tracked in one system,Risk assessment quality improves 73% with training,,,,,,
CS021,vantify-consult,vinciworks-courses,Inferred,,,53,Both,Consultants assess and advise but organizations need ongoing training between consultant visits,Maintains competency between consultant visits,Reduces repeat issues consultants identify,Scales training across all sites,,,,,,
CS022,vantify-intel,vinciworks-courses,Inferred,,,51,Both,Regulatory intelligence shows requirements but staff need training to understand and apply them,Regulatory intelligence + training delivery,Updates automatically when regulations change,Evidence of training for auditors,,,,,,
CS023,worknest-hs,vinciworks-courses,Inferred,,,56,Both,WorkNest provides expert advice but organizations need ongoing training for all employees,WorkNest expertise + VinciWorks delivery scale,Free first year with WorkNest service,"Covers topics beyond H&S (GDPR, compliance, ethics)",,,,,,
CS028,worksec-vciso,vinciworks-courses,Inferred,,,57,Both,Security leadership needs workforce buy-in through training,CISO strategy execution through training,Security culture transformation,Board-ready training metrics,,,,,,
CS033,dpo-consult,vinciworks-courses,Inferred,,,54,Both,DPO expertise needs workforce understanding for effective data protection,GDPR training for all staff,Data protection awareness,Customizable to your DPO's policies,,,,,,
CS034,dpo-training,vinciworks-courses,Inferred,,,51,Both,In-person training creates awareness - eLearning maintains competency,Ongoing training between DPO sessions,24/7 access for new starters,Refresher training automation,,,,,,
CS035,vantify-cafm,worksec-compliance,Real,Bi-Directional,2,60,,,,,,,,,,,
CS036,vantify-cafm,worksec-guardnest,Real,Bi-Directional,6,80,,,,,,,,,,,
CS037,barbour-comp,worksec-compliance,Real,Bi-Directional,10,80,,,,,,,,,,,
CS038,barbour-comp,worksec-siemsoc,Real,Bi-Directional,2,60,,,,,,,,,,,
CS039,barbour-comp,worksec-vciso,Real,Bi-Directional,47,90,,,,,,,,,,,
CS040,vantify-cafm,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS041,vantify-cafm,worksec-vciso,Real,Bi-Directional,3,75,,,,,,,,,,,
CS042,barbour-comp,vantify-cafm,Real,Bi-Directional,21,90,,,,,,,,,,,
CS043,barbour-comp,worksec-dpo,Real,Bi-Directional,7,80,,,,,,,,,,,
CS044,barbour-comp,worksec-guardnest,Real,Bi-Directional,62,95,,,,,,,,,,,
CS045,vinciworks-courses,worksec-compliance,Real,Bi-Directional,13,85,,,,,,,,,,,
CS046,vinciworks-courses,worksec-dpo,Real,Bi-Directional,5,80,,,,,,,,,,,
CS047,vinciworks-courses,worksec-vciso,Real,Bi-Directional,50,95,,,,,,,,,,,
CS048,vinciworks-astute,worksec-compliance,Real,Bi-Directional,3,75,,,,,,,,,,,
CS049,vinciworks-astute,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS050,vinciworks-astute,worksec-vciso,Real,Bi-Directional,9,80,,,,,,,,,,,
CS051,vinciworks-courses,worksec-guardnest,Real,Bi-Directional,74,95,,,,,,,"GuardNest identifies security vulnerabilities and threat exposures through testing and scanning, while VinciWorks addresses the human element by training staff to recognize threats, follow secure practices, and act as your first line of defense.",Security awareness training turns vulnerability findings into behavior change across the workforce,Phishing simulations and remedial training reduce click rates and incident response costs,"Ongoing security education complements technical controls, addressing the weakest link in most breaches",
CS052,vinciworks-astute,worksec-guardnest,Real,Bi-Directional,17,85,,,,,,,,,,,
CS053,vinciworks-courses,worksec-siemsoc,Real,Bi-Directional,5,80,,,,,,,,,,,
CS054,barbour-consultancy,worksec-compliance,Real,Bi-Directional,3,60,,,,,,,,,,,
CS055,barbour-consultancy,worksec-vciso,Real,Bi-Directional,8,80,,,,,,,,,,,
CS056,barbour-consultancy,worksec-guardnest,Real,Bi-Directional,9,80,,,,,,,,,,,
CS057,workiso-combined,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS058,workiso-combined,worksec-guardnest,Real,Bi-Directional,5,80,,,,,,,,,,,
CS059,workiso-ms,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS060,worknest-hr,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS061,worknest-hr,worksec-vciso,Real,Bi-Directional,6,80,,,,,,,,,,,
CS062,vantify-cafm,vinciworks-courses,Real,Bi-Directional,18,85,,"Vantify CAFM tracks facilities assets and maintenance schedules, while VinciWorks ensures your facilities teams and contractors have the H&S competency and compliance awareness to operate safely.","H&S, fire safety, and facilities-specific compliance training for all team members",24/7 course access suits shift workers and multi-site facilities teams,Customizable to property-specific procedures and regional compliance requirements,,,,,,
CS063,barbour-comp,vinciworks-courses,Real,Bi-Directional,211,95,,"Barbour gives your team regulatory intelligence and ready-to-use templates, while VinciWorks ensures staff across the organization actually understand and can apply the requirements through engaging, trackable training.","Turn regulatory knowledge into workforce competence with 1,000+ compliance courses","Demonstrate training compliance for audits and certifications (ISO, Investors in People, etc.)",Courses fully customizable to match your Barbour templates and specific policies,,,,,,
CS064,barbour-comp,vantify-supply,Real,Bi-Directional,29,90,,,,,,,,,,,
CS065,vantify-supply,vinciworks-courses,Real,Bi-Directional,15,85,,"Vantify Supply Chain monitors supplier compliance and performance, while VinciWorks equips your procurement and operations teams with the knowledge to identify risks, enforce standards, and meet due diligence obligations.",Modern slavery and ethical sourcing training for procurement professionals,Supply chain due diligence and third-party risk awareness for all staff,Contractor onboarding modules ensuring suppliers understand your compliance requirements,,,,,,
CS066,vantify-cafm,vinciworks-sra,Real,Bi-Directional,2,60,,,,,,,,,,,
CS067,vantify-cafm,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS068,vinciworks-courses,workiso-combined,Real,Bi-Directional,14,85,,,,,,,,,,,
CS069,barbour-comp,vinciworks-sra,Real,Bi-Directional,20,90,,,,,,,,,,,
CS070,barbour-comp,workiso-combined,Real,Bi-Directional,15,85,,,,,,,,,,,
CS071,vinciworks-sra,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS072,vantify-supply,vinciworks-sra,Real,Bi-Directional,2,60,,,,,,,,,,,
CS073,vantify-supply,workiso-combined,Real,Bi-Directional,4,75,,,,,,,,,,,
CS074,barbour-consultancy,vantify-cafm,Real,Bi-Directional,3,75,,,,,,,,,,,
CS075,barbour-consultancy,vinciworks-courses,Real,Bi-Directional,28,90,,,,,,,,,,,
CS076,barbour-consultancy,vinciworks-sra,Real,Bi-Directional,3,75,,,,,,,,,,,
CS077,barbour-consultancy,workiso-combined,Real,Bi-Directional,6,80,,,,,,,,,,,
CS078,barbour-consultancy,vantify-supply,Real,Bi-Directional,4,75,,,,,,,,,,,
CS079,barbour-comp,vantify-maint,Real,Bi-Directional,10,85,,,,,,,,,,,
CS080,vantify-maint,vinciworks-courses,Real,Bi-Directional,6,80,,,,,,,,,,,
CS081,vantify-maint,worksec-guardnest,Real,Bi-Directional,3,75,,,,,,,,,,,
CS082,vantify-supply,worksec-vciso,Real,Bi-Directional,7,80,,,,,,,,,,,
CS083,vantify-supply,worksec-guardnest,Real,Bi-Directional,7,80,,,,,,,,,,,
CS084,barbour-consultancy,vantify-maint,Real,Bi-Directional,2,60,,,,,,,,,,,
CS085,barbour-comp,vinciworks-astute,Real,Bi-Directional,24,90,,,,,,,,,,,
CS086,barbour-comp,vinciworks-omnitrack,Real,Bi-Directional,12,85,,,,,,,,,,,
CS087,vinciworks-astute,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS088,barbour-consultancy,vinciworks-astute,Real,Bi-Directional,2,60,,,,,,,,,,,
CS089,vinciworks-courses,workiso-ms,Real,Bi-Directional,15,85,,,,,,,,,,,
CS090,vinciworks-courses,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS091,barbour-comp,workiso-ms,Real,Bi-Directional,15,85,,,,,,,,,,,
CS092,barbour-comp,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS093,workiso-combined,worksec-vciso,Real,Bi-Directional,4,75,,,,,,,,,,,
CS094,workiso-ms,worksec-vciso,Real,Bi-Directional,7,80,,,,,,,,,,,
CS095,workiso-ms,worksec-guardnest,Real,Bi-Directional,9,80,,,,,,,,,,,
CS096,workiso-enhanced,worksec-vciso,Real,Bi-Directional,2,60,,,,,,,,,,,
CS097,workiso-enhanced,worksec-guardnest,Real,Bi-Directional,3,75,,,,,,,,,,,
CS098,vinciworks-courses,worknest-hr,Real,Bi-Directional,5,80,,,,,,,,,,,
CS099,barbour-comp,worknest-hr,Real,Bi-Directional,3,75,,,,,,,,,,,
CS100,barbour-consultancy,vinciworks-omnitrack,Real,Bi-Directional,1,60,,,,,,,,,,,
CS101,vinciworks-astute,worknest-hr,Real,Bi-Directional,2,60,,,,,,,,,,,
CS102,vinciworks-omnitrack,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS103,vantify-supply,worknest-hr,Real,Bi-Directional,1,60,,,,,,,,,,,
CS104,worknest-hr,worksec-guardnest,Real,Bi-Directional,2,60,,,,,,,,,,,
CS105,workiso-combined,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS106,workiso-ms,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS107,vantify-supply,workiso-ms,Real,Bi-Directional,16,85,,,,,,,,,,,
CS108,vantify-supply,vinciworks-astute,Real,Bi-Directional,1,60,,,,,,,,,,,
CS109,vantify-maint,worksec-vciso,Real,Bi-Directional,1,60,,,,,,,,,,,
CS110,barbour-consultancy,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS111,barbour-consultancy,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS112,worknest-hr,worksec-dpo,Real,Bi-Directional,2,60,,,,,,,,,,,
CS113,vantify-supply,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS114,workiso-ms,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS115,workiso-combined,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS116,vinciworks-sra,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS117,vinciworks-sra,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS118,vinciworks-sra,worksec-vciso,Real,Bi-Directional,3,75,,,,,,,,,,,
CS119,vinciworks-sra,worksec-guardnest,Real,Bi-Directional,7,80,,,,,,,,,,,
CS120,vinciworks-astute,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS121,vinciworks-astute,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS122,vinciworks-sra,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS123,workiso-ms,worknest-hr,Real,Bi-Directional,1,60,,,,,,,,,,,
CS124,vinciworks-sra,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,