USER ACTIVITY SUMMARY,
"Generated: 1/26/2026, 4:01:52 PM",
,
OVERVIEW,
Total Users,5
Total Sessions,8
Total Actions,43
Avg Actions per Session,5.4
,
MOST VISITED PAGES,
Home,16 visits
Knowledge Base,16 visits
About Us,6 visits
Cross-Sell Finder,4 visits
Resources,1 visits
,
MOST COMMON ACTIONS,
Page Navigation,13 times
App Opened,8 times
Filters Applied,6 times
Viewed Company Products,5 times
Company View,4 times
,
USER JOURNEY SESSIONS,
,
Session #1,
When,"1/26/2026, 10:20:13 AM"
Duration,0 minutes (1 action)
,
What They Did:,
  1. Opened the app,
,
---,
,
Session #2,
When,"1/26/2026, 1:25:52 PM"
Duration,3 minutes (14 actions)
,
What They Did:,
  1. Opened the app,
  2. Navigated from Home to Knowledge Base,
  3. Opened products for company: Barbour,
  4. Navigated from Knowledge Base to Cross-Sell Finder,
  5. Selected products for cross-sell: Consultancy Services,
"  6. Cross-sell recommendations shown: eLearning Course Library, GuardNest, Virtual Chief Information Security Officer (vCISO), Combined Gap, Implementation & Certification Package, Vantify Supply Chain",
  7. Navigated from Cross-Sell Finder to Resources,
  8. Navigated from Resources to Home,
  9. Navigated from Home to About Us,
  10. Viewed company profile: WorkNest Group,
  11. Viewed company profile: The DPO Centre,
  12. Viewed company profile: Barbour,
  13. Viewed company profile: Axiom,
  14. Navigated from About Us to Submit Update Request,
,
---,
,
Session #3,
When,"1/26/2026, 1:40:57 PM"
Duration,7 minutes (13 actions)
,
What They Did:,
  1. Opened the app,
  3. Navigated from Home to Knowledge Base,
  4. Opened products for company: IS Partners,
"  5. Applied filters: IS Partners, Enterprise",
"  6. Applied filters: IS Partners, SME",
"  7. Applied filters: IS Partners, Enterprise",
  8. Applied filters: IS Partners,
"  9. Applied filters: IS Partners, SME",
  10. Applied filters: IS Partners,
  11. Opened products for company: Barbour,
  12. Navigated from Knowledge Base to Cross-Sell Finder,
  13. Navigated from Cross-Sell Finder to Resources,
,
---,
,
Session #4,
When,"1/26/2026, 1:57:19 PM"
Duration,1 minute (2 actions)
,
What They Did:,
  1. Opened the app,
  2. Left the app,
,
---,
,
Session #5,
When,"1/26/2026, 2:16:00 PM"
Duration,0 minutes (3 actions)
,
What They Did:,
  1. Opened the app,
  2. Navigated from Home to About Us,
  3. Left the app,
,
---,
,
Session #6,
When,"1/26/2026, 2:37:36 PM"
Duration,1 minute (7 actions)
,
What They Did:,
  1. Opened the app,
  2. Navigated from Home to Knowledge Base,
  3. Opened products for company: CoreStream GRC,
  4. Viewed product: Action Tracking Management,
  6. Opened products for company: Vantify,
  7. Viewed product: Vantify CAFM,
,
---,
,
Session #7,
When,"1/26/2026, 3:27:13 PM"
Duration,0 minutes (2 actions)
,
What They Did:,
  1. Opened the app,
  2. Left the app,
,
---,
,
Session #8,
When,"1/26/2026, 3:28:11 PM"
Duration,0 minutes (1 action)
,
What They Did:,
  1. Opened the app,
,
---,