Abbreviation,Full Name,Category,Notes
AI,Artificial Intelligence,General Business & Technology,
AI/ML,Artificial Intelligence / Machine Learning,General Business & Technology,
API,Application Programming Interface,General Business & Technology,
AWS,Amazon Web Services,General Business & Technology,
BI,Business Intelligence,General Business & Technology,
CI/CD,Continuous Integration / Continuous Deployment,General Business & Technology,
CRM,Customer Relationship Management,General Business & Technology,
ERP,Enterprise Resource Planning,General Business & Technology,
GCP,Google Cloud Platform,General Business & Technology,
HRIS,Human Resources Information System,General Business & Technology,
KPI,Key Performance Indicator,General Business & Technology,
MI,Management Information,General Business & Technology,
REST,Representational State Transfer,General Business & Technology,
RFP,Request for Proposal,General Business & Technology,
SAP,"Systems, Applications & Products",General Business & Technology,
SFTP,Secure File Transfer Protocol,General Business & Technology,
SLA,Service Level Agreement,General Business & Technology,
SME,Small and Medium Enterprise OR Subject Matter Expert,General Business & Technology,Context-dependent: business size OR personnel expertise
SSO,Single Sign-On,General Business & Technology,
BCM,Business Continuity Management,"Governance, Risk & Compliance",
CSA,Control Self Assessment,"Governance, Risk & Compliance",
ERM,Enterprise Risk Management,"Governance, Risk & Compliance",
GRC,"Governance, Risk & Compliance","Governance, Risk & Compliance",
ICFR,Internal Control Over Financial Reporting,"Governance, Risk & Compliance",
TPRM,Third-Party Risk Management,"Governance, Risk & Compliance",
CCPA,California Consumer Privacy Act,Data Protection & Privacy,
CPRA,California Privacy Rights Act,Data Protection & Privacy,
DORA,Digital Operational Resilience Act,Data Protection & Privacy,
DPIA,Data Protection Impact Assessment,Data Protection & Privacy,
DPO,Data Protection Officer,Data Protection & Privacy,
DPOaaS,Data Protection Officer as a Service,Data Protection & Privacy,
DSAR,Data Subject Access Request,Data Protection & Privacy,
GDPR,General Data Protection Regulation,Data Protection & Privacy,
GLBA,Gramm-Leach-Bliley Act,Data Protection & Privacy,
ICO,Information Commissioner's Office,Data Protection & Privacy,UK regulator
NYDFS,New York Department of Financial Services,Data Protection & Privacy,
PII,Personally Identifiable Information,Data Protection & Privacy,
RoPA,Record of Processing Activities,Data Protection & Privacy,
TIA,Transfer Impact Assessment,Data Protection & Privacy,
ASV,Approved Scanning Vendor,Information Security & Cybersecurity,
CCSP,Certified Cloud Security Professional,Information Security & Cybersecurity,
CEH,Certified Ethical Hacker,Information Security & Cybersecurity,
CHECK,NCSC IT Health Check Scheme,Information Security & Cybersecurity,
CIA,"Confidentiality, Integrity, Availability",Information Security & Cybersecurity,Security triad
CIP,Critical Infrastructure Protection,Information Security & Cybersecurity,
CISM,Certified Information Security Manager,Information Security & Cybersecurity,
CISO,Chief Information Security Officer,Information Security & Cybersecurity,
CISSP,Certified Information Systems Security Professional,Information Security & Cybersecurity,
CMMC,Cybersecurity Maturity Model Certification,Information Security & Cybersecurity,
CREST,Council of Registered Ethical Security Testers,Information Security & Cybersecurity,
CSF,Cybersecurity Framework,Information Security & Cybersecurity,
FISMA,Federal Information Security Management Act,Information Security & Cybersecurity,
IS,Information Security,Information Security & Cybersecurity,
ISMS,Information Security Management System,Information Security & Cybersecurity,
MDR,Managed Detection and Response,Information Security & Cybersecurity,
NCSC,National Cyber Security Centre,Information Security & Cybersecurity,
NERC,North American Electric Reliability Corporation,Information Security & Cybersecurity,
NIST,National Institute of Standards and Technology,Information Security & Cybersecurity,
OSCP,Offensive Security Certified Professional,Information Security & Cybersecurity,
PCI,Payment Card Industry,Information Security & Cybersecurity,
PCI DSS,Payment Card Industry Data Security Standard,Information Security & Cybersecurity,
QSA,Qualified Security Assessor,Information Security & Cybersecurity,
SIEM,Security Information and Event Management,Information Security & Cybersecurity,
SOC,Security Operations Centre OR Service Organization Control,Information Security & Cybersecurity,"Context-dependent: cybersecurity monitoring OR audit/compliance (e.g., SOC 2)"
STAR,Security Trust Assurance and Risk,Information Security & Cybersecurity,
BAFE,British Approvals for Fire Equipment,"Health, Safety & Environment",
CDM,Construction (Design and Management),"Health, Safety & Environment",
EHS,"Environment, Health & Safety","Health, Safety & Environment",
H&S,Health & Safety,"Health, Safety & Environment",
HSE,Health and Safety Executive,"Health, Safety & Environment",UK regulator
IOSH,Institution of Occupational Safety and Health,"Health, Safety & Environment",
SSIP,Safety Schemes in Procurement,"Health, Safety & Environment",
TFRAR,Transfer and Fire Risk Assessment Register,"Health, Safety & Environment",
CIPD,Chartered Institute of Personnel and Development,HR & Employment,
EL,Employment Law,HR & Employment,
PAYE,Pay As You Earn,HR & Employment,
TUPE,Transfer of Undertakings (Protection of Employment),HR & Employment,
ABS,Alternative Business Structure,Legal & Regulatory,
AML,Anti-Money Laundering,Legal & Regulatory,
COFA,Compliance Officer for Finance and Administration,Legal & Regulatory,
COLP,Compliance Officer for Legal Practice,Legal & Regulatory,
FCA,Financial Conduct Authority,Legal & Regulatory,UK regulator
HIPAA,Health Insurance Portability and Accountability Act,Legal & Regulatory,
LSAG,Law Society AML Guidance,Legal & Regulatory,
MLRO,Money Laundering Reporting Officer,Legal & Regulatory,
SOX,Sarbanes-Oxley Act,Legal & Regulatory,
SRA,Solicitors Regulation Authority,Legal & Regulatory,UK regulator
IFSM,International Federation of Facilities Management,Quality & Standards,
IRCA,International Register of Certificated Auditors,Quality & Standards,
ISO,International Organization for Standardization,Quality & Standards,
QAS,Quality Assurance Standard,Quality & Standards,
CAFM,Computer-Aided Facilities Management,Facilities & Asset Management,
CMMS,Computerised Maintenance Management System,Facilities & Asset Management,
FM,Facilities Management,Facilities & Asset Management,
PPM,Planned Preventive Maintenance,Facilities & Asset Management,
LMS,Learning Management System,Learning & Development,
LXP,Learning Experience Platform,Learning & Development,
SCORM,Sharable Content Object Reference Model,Learning & Development,
CPA,Certified Public Accountant,Financial & Professional Services,
DSS,Data Security Standard,Financial & Professional Services,
POA,Price On Application,Financial & Professional Services,