ProductID,CubeName,ProductName,CompanyName,ShortDescription,TargetClientSize,PrimaryIndustries,KeyStats,PackageTiers,LearnMoreURL,DemoURL1,DemoLabel1,DemoURL2,DemoLabel2,DemoURL3,DemoLabel3
vantify-risk,Vantify Risk Manager,Vantify Risk Manager,Vantify,Market-leading compliance and risk management system providing real-time visibility and proactive management across multi-site operations,SME;Enterprise,Real estate activities;Manufacturing;Construction;Human health and social work activities,"50,000+ properties managed; 25,000+ risk assessments annually; ISO 27001 accredited; Established system with proven track record",Compliance Package (pre-configured); Enterprise Package (fully bespoke with comprehensive modules),https://vantify.com/the-vantify-ecosystem/vantify-risk-manager/,,,,,,
vantify-cafm,Vantify CAFM,Vantify CAFM,Vantify,Computer-aided facilities management system designed to simplify and automate processes for multi-site property management with comprehensive asset and compliance tracking,Enterprise,"Real estate activities;Wholesale and retail trade, repair of motor vehicles and motorcycles;Human health and social work activities;Accommodation and food service activities",Major UK property portfolios managed; 24/7 UK helpdesk support included; Web and mobile access included,"Basic CAFM (reactive jobs, assets, PPM, tenant CRM, reporting); Sustainability Modules (meter reading, waste management); Inspections Package (audits, bespoke templates); Shopping Centre Package (patrols, spillages, late open/early close tracking)",https://vantify.com/the-vantify-ecosystem/vantify-cafm/,,,,,,
vantify-supply,Vantify Supply Chain,Vantify Supply Chain,Vantify,"Comprehensive supply chain management platform providing end-to-end visibility, supplier compliance tracking, and financial health monitoring with real-time insights",Enterprise,"Manufacturing;Construction;Wholesale and retail trade, repair of motor vehicles and motorcycles","3,600+ vetted contractors (UK & worldwide); Red Flag Alert integration for financial monitoring; SSIP compliance supported; Bespoke question sets available","Standard Package (supplier qualification, compliance, performance monitoring); Enterprise Package (bespoke question sets, financial health checks, custom workflows, API integrations)",https://vantify.com/the-vantify-ecosystem/vantify-supply-chain/,,,,,,
vantify-consult,Vantify Consultancy,Vantify Consultancy,Vantify,"Expert consultancy services providing bespoke compliance advice, risk assessments, and training delivered by safety professionals across health & safety, fire, water, asbestos, and environmental disciplines",SME;Enterprise,All Industries,"25,000+ risk assessments annually; 300+ experts with 15+ years avg experience; Supports both large blue-chip organisations and SMEs","Core Services (risk assessments, audits, inspections across H&S, fire, water, asbestos); Training Services (classroom and e-learning delivered by experts); Competent Person Support (ongoing advice and guidance); Bespoke Services (customised to specific organisational needs)",https://vantify.com/the-vantify-ecosystem/vantify-consultancy/,,,,,,
vantify-intel,,Vantify Intelligence,Vantify,"Regulatory intelligence and legal library platform simplifying compliance with easy-to-use resources, expert-backed content, and extensive coverage of UK and international regulations",SME;Enterprise,All Industries,Expert-backed legal library; Daily legislative updates; Comprehensive HSE and British Standards coverage,"Standard Package (UK regulations, legal library access, updates); Premium Package (international regulations, templates, priority support); Enterprise Package (custom content, dedicated account support)",https://vantify.com/the-vantify-ecosystem/vantify-intelligence/,,,,,,
vantify-elearn,,Vantify eLearning,Vantify,Online H&S training platform,SME;Enterprise,All Industries,Accessible 24/7,,https://vantify.com/the-vantify-ecosystem/vantify-elearning/,,,,,,
vantify-maint,EFS,Vantify Facilities Services,Vantify,"Comprehensive facilities services and contractor management solution simplifying operations, controlling costs, and mitigating risk with verified contractor network",Enterprise,Real estate activities;Energy and Utilities,Fabric Maintenance solution; Verified qualifications and insurance; Performance tracking available,"Standard Package (verified contractor access, basic compliance checking); Premium Package (performance monitoring, expanded contractor network); Enterprise Package (fully managed service, dedicated account support, custom workflows)",https://vantify.com/the-vantify-ecosystem/vantify-facilities-services/,,,,,,
vinciworks-astute,LMS,Astute LMS,VinciWorks,"Learning management platform delivering engaging, efficient eLearning with data-driven design, comprehensive reporting, SSO, and seamless automation",SME;Enterprise,All Industries,"2,000+ clients globally; 6 consecutive Feefo Platinum Trusted Service Awards (2019-2024); Multi-language support (30+ languages); ISO/IEC 27001 certified; GDPR and Data Protection Act 2018 aligned","Astute Essentials (simplified eLearning tracking for VinciWorks courses with easy enrolment); Astute Premier (custom course uploads, policies, face-to-face training, quizzes, surveys)",https://vinciworks.com/astute/,,,,,,
vinciworks-courses,Courses,eLearning Course Library,VinciWorks,"Comprehensive eLearning library with 1,000+ fully-customisable courses, AI-powered personalised learning, and bespoke course creation",SME;Enterprise,All Industries,Available in every language; Fully customisable; 20+ years compliance expertise,,https://vinciworks.com/courses/,https://www.youtube.com/watch?v=3MhisZrOLcU&list=PLqXSA6z7LDGJFF5ORLw9Rn-BAV1k9oEJQ&index=7,Customisable Courses,https://www.youtube.com/watch?v=pQ-IAVsKwoY&list=PLqXSA6z7LDGJFF5ORLw9Rn-BAV1k9oEJQ&index=8,Conversational Learning,,
vinciworks-omnitrack,Omnitrack,Omnitrack,VinciWorks,"No-code compliance workflow automation platform that transforms manual processes into efficient, audit-ready systems with regulatory best practise embedded",Enterprise,Financial and insurance activities;Legal;Human health and social work activities,"100% customisable workflows; Best practise templates from ICO, HSE, SRA, FCA, LSAG, GDPR; Audit-ready reporting; Scales from simple forms to enterprise workflows",5 Omnitrack Solutions (Supplier Onboarding/Risk Assessment; GDPR Suite; Gifts & Hospitality Register; AML Client Onboarding; Legal Compliance Suite),https://vinciworks.com/products/omnitrack/,https://youtu.be/3BnOz_sdeYk?si=BXFIRrpM8iUP5HJ6,Omnitrack,,,,
vinciworks-sra,SRA consultancy,SRA Consultancy - Compliance Office,VinciWorks,"SRA compliance support for UK law firms including outsourced COLP services, AML audits, templates, training, and subscription packages",SME;Enterprise,Legal,Founded 2014; 12+ compliance team; Hundreds of law firms served; Part of VinciWorks Group (acquired 2022); Specialist in SRA Standards & Regulations; COLP/COFA expertise,"Bronze (Templates & eLearning library - £100/mo); Silver (Plus compliance helpdesk & annual gap analysis - £495/mo); Gold (Outsourced COLP with dedicated consultant - POA); One-off Services (AML audits, SRA health checks, ABS applications, training)",https://www.complianceoffice.co.uk,,,,,,
barbour-comp,Subscriptions,Regulatory Intelligence,Barbour,"Comprehensive EHS regulatory intelligence platform with legislation, official guidance, standards, and ready-to-use compliance tools all in one place",SME;Enterprise,Manufacturing;Construction;Energy and Utilities,"1,000+ customers; 26+ countries; Trusted by major UK organisations",,https://barbour-ehs.com/comprehensive/,,,,,,
barbour-consolidated,,Consolidated Legislation,Barbour,Consolidated legislation service shows the law as it stands today with all amendments rolled into one document - the only EHS provider that consolidates legislation this way,SME;Enterprise,All Industries,"Only provider consolidating EHS legislation this way; UK, Ireland, and EU coverage; Expert legal helpdesk (real people, not AI); All historic amendments in one document",,https://barbour-ehs.com/consolidated/,,,,,,
barbour-consultancy,Consultancy,Consultancy Services,Barbour,"Expert consultancy services taking the hard work out of creating and maintaining bespoke legal and aspects & impacts registers with rigorous, accurate processes",SME;Enterprise,All Industries,,,https://barbour-ehs.com/consultancy/,,,,,,
corestream-platform,Corestream,CoreStream GRC Platform,CoreStream GRC,"Flexible, intuitive, no-code GRC platform delivering governance, risk, and compliance solutions that scale with your needs",SME;Enterprise,All Industries,"6 weeks average go-live; 100+ countries; 98% client retention; Fastest implementations on market; SOC 2, Cyber Essentials, ISO 27001 certified",,https://corestreamgrc.com/platform/,,,,,,
corestream-im,,Incident Management,CoreStream GRC,Easy to use incident management software.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/risk/incident-management/,https://www.youtube.com/watch?v=99fzv1duQJU&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=6,,,,,
corestream-cm,,Controls Management,CoreStream GRC,"Easy to use, flexible controls management done your way.",SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/controls-management/,https://www.youtube.com/watch?v=nRcWes336AA&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=8,,,,,
corestream-coim,,Conflict of Interest Management,CoreStream GRC,Managing your staff declarations just got easier.,SME;Enterprise,All Industries; Human health and social work activities; Financial and insurance activities,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/conflict-of-interest-management/,https://www.youtube.com/watch?v=cgopY4z4lec&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=4,,,,,
corestream-ghm,,Gifts and Hospitality Management,CoreStream GRC,Gifts and entertainment management made simple with user-friendly software.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/gifts-and-hospitality-management/,https://www.youtube.com/watch?v=Yqgyqkr4Hqg&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=3,,,,,
corestream-pm,,Policy Management,CoreStream GRC,Flexible integrated policy management for your enterprise.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/governance/policy-management/,https://www.youtube.com/watch?v=UXwbTON55vw&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=2,,,,,
corestream-atm,,Action Tracking Management,CoreStream GRC,Intuitive seamless action tracking management.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/governance/action-tracking-management/,https://www.youtube.com/watch?v=Ixb7wQGwCSw&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=1,,,,,
corestream-am,,Audit Management,CoreStream GRC,"Simple, easy to use Audit Management software you’ve been waiting for.",SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/audit-management/,https://www.youtube.com/watch?v=-ZeXIFqTjUk&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=10,,,,,
corestream-erm,,Enterprise Risk Management (ERM),CoreStream GRC,Flexible integrated risk management for your enterprise.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/risk/enterprise-risk-management/,https://www.youtube.com/watch?v=VGodXFim6Lo&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=12,,,,,
corestream-tprm,,Third Party Risk Management (TPRM),CoreStream GRC,Intuitive third party risk management that makes sense.,SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/risk/third-party-risk-management/,https://www.youtube.com/watch?v=CiqN-vFncbo&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=13,,,,,
corestream-dpm,,Data Privacy Management,CoreStream GRC,"Clear, effective data privacy management you can trust.",SME;Enterprise,All Industries,"Bespoke tailored delivery in 4-12 weeks (complexity and size dependant); Multi-entity, multi-location, multi-jurisdiction",,https://corestreamgrc.com/compliance/data-privacy-management/,https://www.youtube.com/watch?v=i3YHsqDnxU0&list=PLPgy80lm6LOasdeFuvKhXR0HycKn79D_B&index=11,,,,,
worknest-emplaw,EL Core,Employment Law Advisory Service,WorkNest People,"Fixed-fee employment law advisory with unlimited 24/7 advice, document drafting, tribunal representation, and legal expenses insurance",SME;Enterprise,All Industries,65+ employment law solicitors; 97% client retention rate; 24/7 advice line; Fixed-fee model,"Core Advisory (Unlimited advice line, document drafting, myWorkNest portal access); Enhanced (Plus tribunal representation, legal expenses insurance); Premium (Plus strategic HR projects, training)",https://worknest.com/employment-law/,,,,,,
worknest-hr,HR retainer,HR Service,WorkNest People,"Outsourced HR support with 50+ CIPD-qualified professionals, unlimited support & bespoke documentation.",SME;Enterprise,All Industries,50+ CIPD-qualified HR consultants; Unlimited support & guidance,"HR Advisory (unlimted advice, employee relations, named consultants); Enhanced package upgrade includes dedicated advisor, Legal Insurance, and SLT Compliance Training",https://worknest.com/employment-law-hr/hr-consultancy/,,,,,,
worknest-hs,H&S Core,Health & Safety Service,WorkNest People,"H&S consultancy and compliance support with 40+ qualified consultants, including SafetyNest software platform and 24/7 emergency support",SME;Enterprise,All Industries,40+ qualified H&S consultants; 24/7 emergency advice line; IOSH-approved training,"Core H&S (Unlimited advice, risk assessments, SafetyNest software, 24/7 emergency support); Enhanced H&S (Plus on-site audits, policy development); Premium H&S (Plus bespoke training, IOSH courses, safety culture programmes)",https://worknest.com/health-and-safety/,,,,,,
worknest-fs,Retained Fire,Fire Safety Service,WorkNest People,"Fire Safety Services for Businesses, IFSM and TFRAR certified professionals, ensure compliance and that you're protected",SME;Enterprise,All Industries,Fire Safety Services for Businesses; IFSM and TFRAR certified professionals; Unlimited phone and email advice; Emergency out-of-hours support; Act as one of your competent persons,,,,,,,,
worknest-ld,e-Learning,Learning & Development Services,WorkNest People,Range of L&D solutions for businesses of all sizes - from open online courses & private courses to broader bespoke programmes of work,SME;Enterprise,All Industries,"Deep HR and EL expertise across all sectors and segments, from small family run businesses to household names; L&D team sits within our Employment Law and HR teams, which boast 95+ legal experts and 50+ CIPD HR consultants across the group.",Open and private courses at a fixed fee; bespoke courses chargable on a case by case basis,,,,,,,
worknest-hradmin,,HR Adminstration Service,WorkNest People,"Outsourced HR Administration Service, from onboarding new starters to issuing variations to contract letters.",SME;Enterprise,All Industries,50+ CIPD-qualified HR consultants,"Essentials: Named HR administrator, new starter documentation, resignation acknolwedgements, reference checking, responding to reference requests; Premier: Essentials + employee onboarding, probation documentation, appraisal documentation, contract variation letters, and exit interviews",,,,,,,
worknest-payroll,HRC Payroll Retained,Outsourced Payroll,WorkNest People,Outsourced Payroll processing and pension administration from a dedicated Payroll Professional.,SME;Enterprise,All Industries,Part of our specialist HR support team with 50+CIPD qualified HR consultants,"Essentials: Payroll processing and reporting, online in-year and end of year summaries, and year-end audit reports; Premier: Essentials + bespoke reports, annual leave calculations for starters/leavers, new company registration for PAYE. 3rd party processes (childcare vouchers etc.), and monthly support call",,,,,,,
workiso-combined,Client Agreements,"Combined Gap, Implementation & Certification Package",WorkNest ISO,Available across all the supported ISO standards,SME;Enterprise,All Industries,"Deep expertised across all standards with specialists within each (1000+ ISO9001, 500+ ISO 27001, and 300+ ISO 45001 certifications); Cyber insurance approved certification; 98% client retention rate with over 95% first-time certification pass rate","Single combined package offering, the components of which can be offered standalone.",,,,,,,
workiso-enhanced,Other IMSM,Enhanced Gap and Premier Implementation Services for ISO 27001,WorkNest ISO,Standalone Enhanced Gap and Implementation services are designed to for more complex organisations who require more than achieving basic compliance for the ISO27001 Standard,SME;Enterprise,All Industries,Cyber insurance approved certification body; 98% client retention rate; Average 4-6 month ISO 27001 certification; ISO 20000 for 100+ IT service providers; 500+ ISO 27001 certifications delivered,Premier Implementation: for businesses looking to achieve the standard as part of broader business transformation; Enterprise Implementation: for businesses where information security is integral to the business's strategy and risk mitigation plan.,,,,,,,
workiso-ms,Audits,Managed Service,WorkNest ISO,ISO Managed Service supports customers with ongoing maintainance of the standards they have in place,SME;Enterprise,All Industries,"Deep expertised across all standards with specialists within each (1000+ ISO9001, 500+ ISO 27001, and 300+ ISO 45001 certifications); Cyber insurance approved certification; 98% client retention rate with over 95% first-time certification pass rate","Single combined package offering, which can be tailored to meet the customers needs",,,,,,,
worksec-pentest,Managed Scanning,Penetration Testing & Red Teaming,WorkNest Secure,"CREST, OSCP & Tick certified penetration testing & Red Team Assessment",SME;Enterprise,All Industries,"90+ accredited testers; CREST, OSCP, CREST STAR & Tick certified; 7+ years industry experience",Bespoke projects scoped based on each organisation's threat landscape. In theory there is no limit to what can be tested if it provides security value.,https://www.bulletproof.co.uk/penetration-testing,,,,,,
worksec-siemsoc,MDR,Managed SIEM SOC,WorkNest Secure,24/7 managed SIEM with UK Security Operations Centre with continuous threat monitoring,SME;Enterprise,All Industries,UK Security Operations Centre; 24/7 dedicated security analysts; 7+ years experience,"Managed SIEM (24/7 threat monitoring, log analysis, alert triage); Virtual CISO (Part-time security leadership, board reporting, strategy); SIEM Plus vCISO (Combined monitoring and strategic leadership)",https://www.bulletproof.co.uk/managed-siem,,,,,,
worksec-vciso,Cyber Consultancy,Virtual Chief Information Security Officer (vCISO),WorkNest Secure,"Virtual CISO (vCISO) services provide part-time security leadership, covering strategy, risk management, incident planning, and board-level security reporting, without the cost of a full-time CISO.",SME;Enterprise,All Industries,"Consultants hold key credentials such as ISO 27001 lead auditor/implementer, SOC2 implementer & CISSP",Essentials; Premium; Ultimate,https://www.bulletproof.co.uk/virtual-ciso,,,,,,
worksec-dpo,DPO,Data Protection Services,WorkNest Secure,"Outsourced DPO services, GDPR compliance, data breach response, and ISO 27701 privacy management",SME;Enterprise,All Industries,Qualified GDPR practitioners; Multi-industry experience; Hassle-free compliance support; ICO liaison and breach management; ISO 27701 expertise,"DPO Services (Outsourced data protection officer, ICO liaison, breach response); GDPR Consultancy (Gap analysis, policy development, training); ISO 27701 (Privacy Information Management certification)",https://www.bulletproof.co.uk/dpo-services,,,,,,
worksec-compliance,Cyber Essentials,Compliance & Certification Services,WorkNest Secure,"ISO 27001, SOC 2, Cyber Essentials certification support with gap analysis, implementation, and audit preparation",SME;Enterprise,All Industries,Seasoned Cyber Essentials assessors; High first-time pass rate; Fast certification path,Cyber Essentials & Cyber Essentials Plus (UK government scheme); ISO 27001 (Information Security Management); SOC 2 Type II (Service organisation controls); PCI DSS (Payment card compliance),https://www.bulletproof.co.uk/iso-27001,,,,,,
worksec-guardnest,PTaaS Silver,GuardNest,WorkNest Secure,"GuardNest brings together cutting-edge vulnerability management, real-time insights, advanced penetration testing, direct collaboration with consultants, compliance tools and tailored e-learning into one intuitive platform.",SME;Enterprise,All Industries,CREST & Tick certified testers; live reporting during testing; award winning technology; e-learning module; managed vulnerability scanning; third-party integrations; SSO; Enterprise view,"Essentials (free version with limited feature access); Core (£500 per year - enhanced scanning, e-learning users, threat intelligence, live reporting); Advanced (£2000 a year - more scanning, web app scans, global asset & vulnerability view)",https://www.pentestpeople.com/guardnest,,,,,,
worksec-incident,Incident Response,Incident Response,WorkNest Secure,"Our tailored Cyber Incident Response Services stand out for their bespoke approach, meticulously crafted to meet the unique requirements of every business. With a hands-on approach led by our experienced Incident Response team, we guide you through the entire service, ensuring a seamless and effective response to any cyber threat.",SME;Enterprise,All Industries,Tailored retainers to meet your needs & guaranteed response times: & tabletop exercises,Incident Response entry (basic); Incident Response advanced; Incident response enterprise (fully involved),https://www.pentestpeople.com/cyber-incident-response,,,,,,
dpo-outsourced,,Outsourced DPO (DPOaaS),The DPO Centre,Data Protection Officer as a Service providing qualified DPO expertise to fulfil GDPR Article 37 requirements without full-time hire,SME;Enterprise,All Industries,"100+ DPO team; 950+ clients globally; Multi-jurisdictional expertise (UK, EU, US); 24/7 breach response","Core DPO (GDPR compliance monitoring, ICO liaison, breach management); Enhanced DPO (Plus DPIA support, vendor DPAs, training); Premium DPO (Plus strategic privacy programme development)",https://www.dpocentre.com/services/outsourced-dpo-services/,,,,,,
dpo-eu-rep,,EU Representation (Art 27),The DPO Centre,GDPR Article 27 representative service for non-EU organisations processing EU data subjects personal data,SME;Enterprise,Multinational corps,Coverage across all 27 EU member states; Legal requirement for non-EU controllers/processors; ICO and supervisory authority liaison,Single EU Country; Multiple EU Countries; All 27 EU Member States,https://www.dpocentre.com/services/representation-services/,,,,,,
dpo-uk-rep,,UK Representation (Art 27),The DPO Centre,UK GDPR Article 27 representative service for non-UK organisations processing UK data subjects personal data,SME;Enterprise,Multinational corps,UK GDPR compliance expertise; Legal requirement for non-UK controllers/processors; ICO liaison and representation,UK Representative Service (Single fixed fee),https://www.dpocentre.com/services/representation-services/,,,,,,
dpo-consult,,Data Protection Consultancy,The DPO Centre,"Project-based data protection consultancy including audits, Records of Processing Activities, DPIAs, Transfer Impact Assessments, and gap analysis",SME;Enterprise,All Industries,Flexible project engagement; 100+ qualified consultants; Multi-jurisdictional expertise,GDPR Audit & Gap Analysis; Records of Processing Activities (RoPA); Data Protection Impact Assessments (DPIA); Transfer Impact Assessments (TIA); Privacy Policy Development; Vendor Data Processing Agreements,https://www.dpocentre.com/services/consultancy-services/,,,,,,
dpo-dsar,,DSAR Response Service,The DPO Centre,Data Subject Access Request handling service providing full DSAR management or redaction-only support,SME;Enterprise,All Industries,Per-DSAR or retainer pricing; 30-day GDPR deadline compliance; Experienced redaction specialists; DSAR tracking and documentation,"Full DSAR Management (End-to-end process including data gathering, redaction, response); Redaction-Only Service (Review and redact provided data); DSAR Retainer (Monthly allocation of DSARs)",https://www.dpocentre.com/services/dsar-response-service/,,,,,,
dpo-advice,,Advice Line,The DPO Centre,On-demand expert data protection support providing quick answers to GDPR questions from large team of qualified DPOs,SME;Enterprise,All Industries,100+ DPO team; Quick turnaround on questions; Multi-jurisdictional expertise,Unlimited Advice Line (Fixed monthly fee for unlimited queries); Pay-Per-Query (Ad-hoc support),https://www.dpocentre.com/services/advice-line-service/,,,,,,
dpo-training,,Training & Awareness,The DPO Centre,Tailored GDPR training programmes customised to organisational policies and procedures with multiple delivery formats,SME;Enterprise,All Industries,Customised to organisational policies; Multiple delivery formats; Experienced DPO trainers,"GDPR Awareness Training; Role-Specific Training (Marketing, HR, IT); Executive Briefings; Train-the-Trainer Programmes",https://www.dpocentre.com/services/data-protection-awareness-training-development/,,,,,,
ispartners-compliance,,Compliance & Certification Services,IS Partners,"Comprehensive audit and certification services including SOC, ISO, PCI, HITRUST, CMMC, NIST, HIPAA, and industry-specific compliance frameworks",SME;Enterprise,All Industries,Led by Big 4 alumni CPAs; Authorised C3PAO (CMMC); PCI QSA certified; HITRUST External Assessor; ISO Certification Body candidate; 20+ compliance frameworks; Multi-industry expertise,"SOC Audits (SOC 1, SOC 2 Type I/II, SOC 3, SOC for Cybersecurity, SOC for Supply Chain); ISO Compliance (ISO 27001, ISO 42001); Healthcare (HITRUST CSF, HIPAA/HITECH); Defence & Government (CMMC Levels 1/2/3, NIST 800-53/800-171, FISMA); Financial (PCI DSS, GLBA, SOX/MAR); Cloud & Industry (CSA STAR, NERC CIP, DORA); Privacy (GDPR, CCPA, NYDFS)",https://www.ispartnersllc.com/compliance-certification-services/,,,,,,
ispartners-cyber,,Cybersecurity & Risk Services,IS Partners,"Security testing and risk assessment services including penetration testing, social engineering, cloud security, ISMS risk assessments, and ASV scanning",SME;Enterprise,All Industries,CEH and OSCP-certified testers; AWS and CCSP cloud expertise; PCI ASV certified; CISA/CISSP risk professionals; Prioritised remediation guidance; Multi-cloud expertise,"Penetration Testing (Network, Application, Wireless, Cloud); Social Engineering (Phishing, Vishing, Physical); Cloud Security Assessment (AWS, Azure, GCP); ISMS Risk Assessment (ISO 27001); Vendor Risk Assessment; ASV Scanning (PCI quarterly scanning)",https://www.ispartnersllc.com/cybersecurity-assessment-and-advisory-services/,,,,,,
ispartners-audit,,Audit & Assurance Services,IS Partners,"Internal audit, IT audit, and operational audit services led by CPA and CIA-certified professionals with Big 4 experience",SME;Enterprise,Financial and insurance activities;Human health and social work activities,CPA and CIA-certified auditors; Big 4 alumni experience; Actionable recommendations; Risk-based audit approach; Comprehensive audit methodology,Internal Audit Services; IT Audits; Financial Control Audits; Operational Audits; Agreed-Upon Procedures; SOX Self-Assessments,https://www.ispartnersllc.com/internal-audit-compliance/internal-audit/,,,,,,
ispartners-bcdr,,Business Continuity & Policy Services,IS Partners,"Business continuity planning, disaster preparedness, policy development, and pandemic planning services",SME;Enterprise,All Industries,Comprehensive BCM approach; Policy development expertise; Regulatory-aligned planning; Tabletop exercise facilitation; ISO 22301 alignment,Business Continuity Planning; Disaster Recovery Planning; Policy and Procedure Development; Pandemic Planning; Incident Response Planning; Business Impact Analysis,https://www.ispartnersllc.com/internal-audit-compliance/,,,,,,
ispartners-vciso,,Virtual & Fractional Staffing,IS Partners,"Virtual CISO, fractional compliance officers, and internal audit outsourcing providing expert security and compliance leadership without full-time hire",SME;Enterprise,Technology;Financial and insurance activities;Human health and social work activities,CISSP and CISM-certified vCISOs; Board-level reporting experience; Security programme development; Risk management expertise; Scalable engagement models,"Virtual CISO (Fractional security leadership, programme development, board reporting); Fractional Compliance Officer; Internal Audit Outsourcing",https://www.ispartnersllc.com/it-assurance/ciso/,,,,,,